customer,st,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
RB50392,Washington,Unknown,Master,Unknown,0,1000,0,Personal Auto,Four-Door Car,2
QZ44356,Arizona,F,Bachelor,697953.59,0,94,0,Personal Auto,Four-Door Car,1131
AI49188,Nevada,F,Bachelor,1288743.17,48767,108,0,Personal Auto,Two-Door Car,566
WW63253,California,M,Bachelor,764586.18,0,106,0,Corporate Auto,SUV,529
GA49547,Washington,M,High School or Below,536307.65,36357,68,0,Personal Auto,Four-Door Car,17
OC83172,Oregon,F,Bachelor,825629.78,62902,69,0,Personal Auto,Two-Door Car,159
XZ87318,Oregon,F,College,538089.86,55350,67,0,Corporate Auto,Four-Door Car,321
CF85061,Arizona,M,Master,721610.03,0,101,0,Corporate Auto,Four-Door Car,363
DY87989,Oregon,M,Bachelor,2412750.4,14072,71,0,Corporate Auto,Four-Door Car,511
BQ94931,Oregon,F,College,738817.81,28812,93,0,Special Auto,Four-Door Car,425
SX51350,California,M,College,473899.2,0,67,0,Personal Auto,Four-Door Car,482
VQ65197,California,Unknown,College,819719.71,0,110,0,Personal Auto,SUV,528
DP39365,California,Unknown,Master,879879.7,77026,110,2,Corporate Auto,Four-Door Car,472
SJ95423,Arizona,Unknown,High School or Below,881901.89,99845,110,1,Corporate Auto,SUV,528
IL66569,California,Unknown,College,538443.17,83689,70,2,Corporate Auto,Four-Door Car,307
BW63560,Oregon,Unknown,Bachelor,746313.94,24599,64,1,Corporate Auto,Four-Door Car,42
FV94802,Nevada,Unknown,High School or Below,256686.78,25049,67,0,Personal Auto,Two-Door Car,454
OE15005,California,Unknown,College,394524.16,28855,101,0,Personal Auto,SUV,647
WC83389,Oregon,Unknown,College,571033.31,51148,72,0,Personal Auto,Four-Door Car,308
FL50705,California,Unknown,High School or Below,816261.71,66140,101,0,Corporate Auto,Four-Door Car,484
ZK25313,Oregon,Unknown,High School or Below,287205.13,57749,74,0,Personal Auto,Two-Door Car,355
QK46697,Washington,M,Bachelor,617710.93,61040,79,1,Personal Auto,Two-Door Car,20
YH23384,Arizona,Unknown,Bachelor,2412750.4,14072,71,0,Personal Auto,Four-Door Car,511
TZ98966,Nevada,Unknown,Bachelor,245019.1,0,73,3,Corporate Auto,Four-Door Car,554
HM55802,California,Unknown,Bachelor,239210.79,17870,61,0,Corporate Auto,Four-Door Car,439
FS42516,Oregon,Unknown,College,580206.6,97541,72,0,Personal Auto,Four-Door Car,389
US89481,California,Unknown,Bachelor,394637.21,0,111,0,Personal Auto,Four-Door Car,799
HS14476,Washington,M,College,916206.32,29723,80,0,Personal Auto,Four-Door Car,20
GE62437,Arizona,Unknown,College,1290256.01,86584,111,2,Personal Auto,Four-Door Car,532
EJ77678,Oregon,Unknown,Master,323536.05,75690,80,1,Personal Auto,Four-Door Car,384
SV85652,Arizona,Unknown,College,245458.35,23158,63,1,Personal Auto,Four-Door Car,322
UL64533,Nevada,Unknown,High School or Below,1897545.61,65999,237,0,Corporate Auto,Luxury,615
PF41800,California,Unknown,Bachelor,471532.13,0,65,0,Personal Auto,Four-Door Car,308
HD95276,Washington,F,College,473787.17,0,130,0,Personal Auto,SUV,23
SK67821,Oregon,Unknown,Bachelor,493291.63,37260,62,0,Corporate Auto,Four-Door Car,15
YV55495,Arizona,Unknown,High School or Below,574422.97,68987,71,0,Personal Auto,Four-Door Car,204
KY38074,California,Unknown,Bachelor,1389173.57,42305,117,0,Personal Auto,Four-Door Car,561
DM79012,Oregon,Unknown,Master,738097.67,65706,91,0,Personal Auto,Four-Door Car,436
CM61827,Oregon,Unknown,Bachelor,309003.41,0,90,0,Personal Auto,Two-Door Car,648
WC35801,Arizona,Unknown,High School or Below,252163.31,53243,66,2,Personal Auto,Four-Door Car,157
QG25316,Nevada,Unknown,High School or Below,265206.18,0,70,1,Corporate Auto,Two-Door Car,484
MB98372,Oregon,Unknown,College,277104.5,50071,71,0,Corporate Auto,Two-Door Car,18
IL19217,California,Unknown,Bachelor,393900.64,60021,99,0,Personal Auto,Four-Door Car,882
SR38658,Arizona,Unknown,High School or Below,1223187.97,43244,103,0,Personal Auto,Luxury,494
YD87931,Washington,M,Doctor,495165.61,46896,35354,1,Personal Auto,Four-Door Car,31
HG65722,Oregon,Unknown,Doctor,1281910.29,10105,172,3,Personal Auto,SUV,0
BU27331,Arizona,Unknown,Bachelor,446851.05,0,73,3,Personal Auto,Four-Door Car,579
XM45289,Oregon,Unknown,High School or Below,551434.4,23218,71,0,Personal Auto,Two-Door Car,447
KP34198,California,Unknown,Bachelor,334387.53,0,92,0,Corporate Auto,Four-Door Car,529
SH90947,Arizona,Unknown,High School or Below,229447.89,0,62,0,Personal Auto,Four-Door Car,313
WE95729,Oregon,Unknown,College,3670742.64,24804,104,0,Personal Auto,SUV,593
PY51963,California,Unknown,Bachelor,3347334.95,33190,106,0,Corporate Auto,SUV,508
RB69909,Nevada,Unknown,High School or Below,798343.17,36014,69,3,Special Auto,Four-Door Car,173
NW21079,Washington,F,Master,487938.48,67163,61,2,Personal Auto,Two-Door Car,33
FR46645,California,Unknown,Bachelor,429399.73,16701,113,0,Personal Auto,Four-Door Car,831
SY17488,Arizona,Unknown,College,716439.55,46623,91,0,Corporate Auto,Four-Door Car,436
AP67935,California,Unknown,College,761951.58,64749,64,0,Special Auto,Four-Door Car,302
FS37417,Arizona,Unknown,High School or Below,395800.28,0,101,0,Personal Auto,SUV,484
ML29312,Oregon,Unknown,High School or Below,449949.33,16969,124,2,Personal Auto,SUV,704
UB61619,Oregon,Unknown,Master,405956.74,11621,108,0,Personal Auto,Four-Door Car,518
CD86811,Arizona,Unknown,Bachelor,445811.34,17622,65,1,Personal Auto,Four-Door Car,312
RU83859,California,Unknown,Bachelor,811033.31,11489,105,0,Personal Auto,Two-Door Car,504
FG63582,Oregon,Unknown,Bachelor,333976.49,0,94,0,Personal Auto,Two-Door Car,863
NN71951,California,Unknown,High School or Below,2426101.78,66525,100,0,Personal Auto,SUV,104
WB37082,Arizona,Unknown,Bachelor,661397.37,0,63,0,Personal Auto,Four-Door Car,676
SM52139,Washington,Unknown,College,293069.35,33663,73,0,Personal Auto,Four-Door Car,350
FL82372,Oregon,Unknown,College,867219.43,22547,112,0,Corporate Auto,SUV,537
DP45816,Arizona,Unknown,High School or Below,1163866.93,61486,97,0,Personal Auto,Two-Door Car,465
GW33762,Oregon,Unknown,Bachelor,684615.03,0,95,0,Personal Auto,Two-Door Car,456
RZ33670,California,Unknown,College,1172777.65,29879,102,0,Personal Auto,Four-Door Car,500
PY70169,Oregon,Unknown,High School or Below,2264383.48,93011,113,0,Personal Auto,SUV,281
MO91628,Oregon,Unknown,Master,261447.43,65186,65,0,Personal Auto,Two-Door Car,5
HW87852,Oregon,Unknown,Master,245175.27,26840,64,2,Personal Auto,Four-Door Car,307
HB20453,Oregon,Unknown,Bachelor,678127.02,0,104,1,Personal Auto,Luxury,982
BN87372,Oregon,Unknown,Bachelor,497480.15,75644,65,3,Personal Auto,Two-Door Car,467
YX23800,Oregon,Unknown,Bachelor,859160.49,38984,73,0,Personal Auto,Four-Door Car,350
DZ87709,Oregon,Unknown,High School or Below,559216.14,71811,71,0,Personal Auto,Four-Door Car,29
XW13033,Nevada,Unknown,College,800947.28,20961,67,0,Personal Auto,Four-Door Car,321
SP81997,Washington,F,Master,Unknown,41275,96,0,Personal Auto,Four-Door Car,41
OM82309,California,Unknown,Bachelor,5816655.35,61321,186,1,Personal Auto,Luxury,427
ZU35962,California,Unknown,College,802522.94,0,77,0,Personal Auto,Two-Door Car,25
VH85817,California,Unknown,High School or Below,578018.22,51066,74,0,Personal Auto,Four-Door Car,787
DT85712,California,Unknown,Doctor,411853.91,34378,102,0,Personal Auto,SUV,489
YJ88573,Nevada,Unknown,Master,252307.02,43072,63,0,Personal Auto,Four-Door Car,302
SQ19467,Oregon,Unknown,College,655421.64,25222,90,0,Personal Auto,Four-Door Car,475
YB66933,Washington,F,Bachelor,538275.2,77552,68,1,Corporate Auto,Four-Door Car,45
ET79815,California,Unknown,College,592672.94,23091,96,5,Personal Auto,Four-Door Car,460
QC35222,California,Unknown,Bachelor,268347.07,48269,69,3,Corporate Auto,Four-Door Car,282
CJ15590,Oregon,Unknown,Bachelor,269518.24,32720,67,0,Personal Auto,Four-Door Car,321
OI48267,California,Unknown,College,604702.52,20396,76,1,Personal Auto,Four-Door Car,364
JY67916,Oregon,Unknown,College,1317101.28,21513,119,1,Personal Auto,Two-Door Car,679
OW15518,Washington,F,College,1595001.95,0,87,1,Personal Auto,Two-Door Car,46
CZ33664,Oregon,Unknown,Bachelor,252765.38,80744,63,0,Corporate Auto,Four-Door Car,11
WK30175,Oregon,Unknown,Bachelor,267209.58,52822,67,0,Corporate Auto,Two-Door Car,350
ON44465,California,Unknown,High School or Below,531329.4,0,77,1,Personal Auto,Four-Door Car,863
TV87155,Oregon,Unknown,Bachelor,2094619.25,69738,74,1,Personal Auto,Four-Door Car,492
KH48895,Arizona,Unknown,Master,837535.39,17780,109,0,Personal Auto,SUV,132
NZ30757,California,Unknown,Bachelor,480166.15,18107,62,0,Personal Auto,Four-Door Car,297
RI22468,Arizona,Unknown,Bachelor,574594.33,57740,74,3,Personal Auto,Four-Door Car,269
FZ30935,Oregon,Unknown,College,606611.6,32627,76,0,Personal Auto,Two-Door Car,380
UG93476,California,Unknown,College,800230.83,0,107,0,Personal Auto,SUV,513
AB96670,California,Unknown,College,239391.54,0,70,0,Personal Auto,Four-Door Car,425
XK64261,Oregon,Unknown,Bachelor,476281.79,65795,62,1,Corporate Auto,Two-Door Car,49
EV68375,California,Unknown,College,433038.6,60475,107,0,Personal Auto,Four-Door Car,513
UN51653,California,Unknown,High School or Below,940272.98,0,130,0,Personal Auto,SUV,936
TO96662,Oregon,Unknown,Bachelor,696669.45,41837,88,0,Personal Auto,Four-Door Car,142
MR52087,California,Unknown,Bachelor,769406.43,32303,65,0,Personal Auto,Four-Door Car,45
DE75225,Oregon,Unknown,High School or Below,871756.11,0,117,1,Personal Auto,SUV,561
EP80820,California,Unknown,Bachelor,592874.85,40531,74,0,Personal Auto,Two-Door Car,30
GU99037,Oregon,Unknown,College,245297.73,79898,62,1,Corporate Auto,Four-Door Car,271
WI57118,California,Unknown,College,670157.17,56398,85,0,Personal Auto,Four-Door Car,408
GP39118,Washington,M,High School or Below,499655.27,71600,63,0,Personal Auto,Two-Door Car,46
MQ14219,Arizona,Unknown,College,849269.88,27804,109,0,Personal Auto,SUV,784
KN20603,Oregon,Unknown,Bachelor,771349.4,45506,66,2,Personal Auto,Four-Door Car,316
SG20925,Washington,F,Master,518579.76,99428,6464,1,Personal Auto,Four-Door Car,48
JI70886,California,Unknown,High School or Below,729006.98,0,102,1,Corporate Auto,SUV,489
VF72557,Oregon,Unknown,High School or Below,477294.38,20993,133,0,Personal Auto,SUV,638
OX28638,Arizona,Unknown,High School or Below,680649.14,37839,86,0,Personal Auto,Two-Door Car,465
SK55033,California,Unknown,Bachelor,246978.13,92711,62,0,Personal Auto,Two-Door Car,368
OO88645,California,Unknown,College,310392.3,74665,78,2,Corporate Auto,Four-Door Car,236
FM14335,Washington,F,College,1048491.54,61108,89,0,Personal Auto,Four-Door Car,49
CW82151,California,Unknown,Bachelor,890273.76,46833,112,0,Personal Auto,Luxury,64
DY22043,Oregon,Unknown,High School or Below,549944.72,88768,68,0,Personal Auto,Two-Door Car,326
SH36774,California,Unknown,High School or Below,1502359.86,28262,192,0,Personal Auto,Luxury,921
EM43724,Nevada,Unknown,Bachelor,250910.79,33555,63,0,Personal Auto,Four-Door Car,101
FH85960,Oregon,Unknown,College,3122174.81,42780,113,1,Personal Auto,Four-Door Car,542
XA55993,Oregon,Unknown,Master,313350.34,58850,78,0,Personal Auto,Four-Door Car,143
GO36627,Arizona,Unknown,College,383745.19,21880,97,0,Special Auto,Four-Door Car,424
QH48047,Oregon,Unknown,College,1179049.62,25251,66,0,Personal Auto,Four-Door Car,316
HS28694,Washington,F,High School or Below,282986.39,25317,71,0,Personal Auto,Two-Door Car,50
UH65059,Arizona,Unknown,High School or Below,430580.83,24188,109,0,Personal Auto,Luxury,523
